,num__Age,num__Weight (kg),num__Height (m),num__Max_BPM,num__Avg_BPM,num__Resting_BPM,num__Session_Duration (hours),num__Fat_Percentage,num__Water_Intake (liters),num__Workout_Frequency (days/week),num__Experience_Level,num__BMI,cat__Gender_Female,cat__Gender_Male,cat__Workout_Type_Cardio,cat__Workout_Type_HIIT,cat__Workout_Type_Strength,cat__Workout_Type_Yoga
967,-1.5492207720752156,-0.8675590876038478,-0.9698352432704032,-0.686975220878701,1.7224869151946467,0.655503218502709,-0.40289597677158534,-0.1913705211022183,0.9590783141712834,0.7486544926707626,0.2688981400477414,-0.4603107650822149,0.0,1.0,0.0,0.0,0.0,1.0
365,0.016994087819615505,-0.5809737695429312,-0.5850944430988735,-1.5555779459910728,1.6529995400447628,0.11652588859459274,-1.003981046970057,0.38908696293577755,-1.54010133938435,-0.3631644059874078,-1.0975434287662913,-0.3253623030337691,1.0,0.0,0.0,1.0,0.0,0.0
559,1.253479503526061,0.18666547526309463,-0.046457322858729645,1.223950774368517,0.7496636630962717,-0.2877071088364944,-0.8537097794204392,0.19560113492311187,-1.2068773855769321,-0.3631644059874078,-1.0975434287662913,0.24384338945262302,1.0,0.0,1.0,0.0,0.0,0.0
33,-1.2194913278868302,-0.667972883954281,-1.6623686835791596,0.6159288667898567,0.9581257885459235,0.790247550979738,-0.6433300048509741,1.05016354197905,-0.20720552415467888,-1.4749833046455783,-1.0975434287662913,0.29228642711103897,1.0,0.0,1.0,0.0,0.0,0.0
31,-1.5492207720752156,-0.33532921120500264,-1.5854205235448533,0.4422083217673824,-1.1264954659505944,-1.6351504336067848,-0.6733842583608977,0.45358223893999905,-0.7070414548658052,0.7486544926707626,0.2688981400477414,0.7213533320855839,1.0,0.0,0.0,0.0,0.0,1.0
870,-1.631653133122312,-0.39162275582411166,-0.738990763167486,1.4845315919022286,-0.7790585902011746,-0.6919401062675815,1.8511730364726824,-1.1587996611655444,0.12601842965273913,1.860473391328933,1.6353397088617743,0.010278743599543854,1.0,0.0,1.0,0.0,0.0,0.0
192,-1.631653133122312,-0.34556440113574977,-1.5854205235448533,0.7027891393010939,-0.9180333405009424,1.1944805484108252,-0.07229918816242646,0.8728015329674406,-0.3738175010583879,-0.3631644059874078,-1.0975434287662913,0.7057823556953787,1.0,0.0,1.0,0.0,0.0,0.0
312,1.253479503526061,0.3299581342935534,1.3386095577587813,-0.5132546758562266,0.19376466189720032,1.3292248808878542,-1.3345778355792162,-0.5944659961286042,1.7921381986898277,-1.4749833046455783,-1.0975434287662913,-0.4187881613750012,0.0,1.0,0.0,0.0,0.0,1.0
483,1.1710471424789648,-1.000616556703559,-1.200679723373322,-0.7738354933899382,0.4022267873468521,1.1944805484108252,0.2582976004467331,0.5019536959431655,-0.7070414548658052,-0.3631644059874078,0.2688981400477414,-0.4983731518138276,1.0,0.0,0.0,1.0,0.0,0.0
551,-0.7248971616042519,2.1211163721742814,1.4155577177930876,-0.2526738583225151,-0.431621714451755,-1.0961731036986686,0.04791782587726792,-0.48159926312121626,1.7921381986898277,-0.3631644059874078,-1.0975434287662913,1.2005933832063458,0.0,1.0,0.0,1.0,0.0,0.0
557,-1.384356049981023,0.7291305415926869,1.3386095577587813,0.5290685942786195,-1.0570080908007102,-0.5571957737905525,1.971390050512376,-2.174600258232037,1.4589142448824097,1.860473391328933,1.6353397088617743,-0.0450847280100749,0.0,1.0,0.0,0.0,1.0,0.0
635,-0.39516771741586637,-0.9084998473268356,-1.5854205235448533,0.8765096843235683,-0.7790585902011746,-0.2877071088364944,-0.3728417232616624,0.9372968089716621,-0.7070414548658052,-0.3631644059874078,-1.0975434287662913,-0.11774928449769913,1.0,0.0,1.0,0.0,0.0,0.0
109,1.5007765866673504,0.3299581342935534,-0.8159389232017906,0.4422083217673824,0.4022267873468521,-1.3656617686527268,-0.7334927653807449,1.05016354197905,-1.0402654086732233,0.7486544926707626,0.2688981400477414,0.9912502561824755,1.0,0.0,0.0,0.0,1.0,0.0
408,0.5940206151492902,1.8857070037670995,-0.6620426031331798,0.4422083217673824,1.7919742903445306,0.11652588859459274,0.43862312150627397,-0.7557041861391585,1.2923022679787006,-0.3631644059874078,-1.0975434287662913,2.8217050362754943,0.0,1.0,0.0,0.0,1.0,0.0
77,1.5832089477144466,-0.29950604644738865,0.18438715724418914,-0.9475560384124126,-1.0570080908007102,-0.6919401062675815,-1.8755543987578405,0.0021153069104467895,-1.3734893624806408,-1.4749833046455783,-1.0975434287662913,-0.44300968020420944,1.0,0.0,1.0,0.0,0.0,0.0
928,-1.1370589668397337,-0.4172107306509792,-0.3542499629959547,1.5713918644134657,1.5140247897449948,0.655503218502709,-0.9138182864402865,1.034039722977995,-1.2068773855769321,-1.4749833046455783,-1.0975434287662913,-0.2665386144485493,1.0,0.0,1.0,0.0,0.0,0.0
541,0.09942644886671188,0.2531942098129508,1.4925058778273939,-0.07895331330004074,-0.431621714451755,0.790247550979738,-0.3728417232616624,-0.4493516251191055,1.7921381986898277,0.7486544926707626,0.2688981400477414,-0.5675774913258513,0.0,1.0,0.0,0.0,0.0,1.0
82,-1.2194913278868302,0.04849041119801048,0.2613353172784954,-0.4263944033449895,-1.1264954659505944,0.790247550979738,-1.1843065680295985,0.9050491709695513,-1.8733252931917674,-0.3631644059874078,-1.0975434287662913,-0.10563852508309499,1.0,0.0,0.0,0.0,0.0,1.0
361,1.006182420384772,0.31460534939743234,-1.6623686835791596,1.13709050185728,-0.6400838399014068,1.5987135458419124,-1.003981046970057,0.9534206279727178,-0.040593547250969884,-0.3631644059874078,-1.0975434287662913,1.7490377738391314,1.0,0.0,0.0,0.0,1.0,0.0
793,0.346723532008001,0.03825522126726332,0.5691279574157204,-1.5555779459910728,1.583512164894879,-1.6351504336067848,-1.3946863425990632,1.2275255509906595,-0.8736534317695142,-0.3631644059874078,-1.0975434287662913,-0.2942203502533587,1.0,0.0,1.0,0.0,0.0,0.0
506,1.5832089477144466,-1.4202593438641864,-1.200679723373322,0.268487776744908,0.8191510382461556,-0.42245144131352347,-0.5231129908112797,1.0824111799811609,-0.5404294779620968,-0.3631644059874078,-1.0975434287662913,-1.0744992782514224,1.0,0.0,0.0,1.0,0.0,0.0
789,1.0886147814318685,-1.2360259251107406,1.030816917621558,-0.07895331330004074,-0.9875207156508264,0.655503218502709,-0.7334927653807449,-0.07850378809483038,0.2926304065564474,-0.3631644059874078,0.2688981400477414,-1.7855738667374625,0.0,1.0,0.0,0.0,0.0,1.0
499,0.8413176982905792,-1.1643795955955112,-1.4315242034762408,-0.07895331330004074,0.6801762879463877,0.11652588859459274,0.07797207938719151,0.8889253519684956,-0.8736534317695142,-0.3631644059874078,0.2688981400477414,-0.5866086846916576,1.0,0.0,0.0,1.0,0.0,0.0
398,-1.7140854941694084,-0.708913643677269,-0.8928870832360969,-0.4263944033449895,0.47171416249673603,1.1944805484108252,1.9413357970024525,-1.594142774194041,0.12601842965273913,0.7486544926707626,1.6353397088617743,-0.2994106757167606,1.0,0.0,0.0,0.0,0.0,1.0
2,-0.5600324395100591,-0.1971541471399185,-0.5081462830645672,-1.121276583434887,-1.4739323417000139,-1.0961731036986686,-0.4329502302815089,1.3242684649969922,-0.5404294779620968,0.7486544926707626,0.2688981400477414,0.09851427647737393,1.0,0.0,1.0,0.0,0.0,0.0
101,-1.1370589668397337,-1.5737871928253917,-0.8159389232017906,1.13709050185728,0.05478991159743246,0.2512702210716218,0.7091114030955864,0.5986966099494977,-0.8736534317695142,0.7486544926707626,0.2688981400477414,-1.4603134710309529,1.0,0.0,0.0,0.0,0.0,1.0
363,0.8413176982905792,-0.08968465286707439,1.261661397724475,1.223950774368517,-1.1264954659505944,-1.5004061011297558,-1.6651746241883756,0.7115633429568863,-0.040593547250969884,-0.3631644059874078,-1.0975434287662913,-0.7769206183497221,0.0,1.0,0.0,0.0,0.0,1.0
450,-0.14787063427457725,-0.1255078176246891,-1.7393168436134658,1.3976713193909913,-0.9180333405009424,0.5207588860256799,-1.6952288776982993,1.2275255509906595,-0.3738175010583879,-1.4749833046455783,-1.0975434287662913,1.167721321938135,1.0,0.0,1.0,0.0,0.0,0.0
286,-0.8073295226513483,2.7608157428459696,2.108091158101844,0.5290685942786195,0.6106889127965038,0.655503218502709,0.31840610746658027,-0.07850378809483038,0.7924663372675744,0.7486544926707626,0.2688981400477414,1.2697977227183694,0.0,1.0,0.0,0.0,1.0,0.0
208,0.9237500593376756,-1.3588482042797045,-0.43119812303026095,-1.4687176734798357,1.0276131636958075,-0.018218443882436312,0.34846036097650385,-0.17524670210116264,0.2926304065564474,0.7486544926707626,0.2688981400477414,-1.3599671787385188,0.0,1.0,0.0,0.0,0.0,1.0
265,1.0886147814318685,-0.4530338954085935,-1.4315242034762408,0.4422083217673824,1.5140247897449948,0.655503218502709,0.31840610746658027,1.550001931011768,-1.3734893624806408,-0.3631644059874078,0.2688981400477414,0.4272348891594847,1.0,0.0,0.0,0.0,1.0,0.0
5,1.4183442256202539,-0.7140312386426425,-0.3542499629959547,-1.0344163109236497,0.8886384133960396,1.5987135458419124,1.0096539381948224,-1.5618951361919302,0.12601842965273913,1.860473391328933,1.6353397088617743,-0.6212108544476692,1.0,0.0,0.0,1.0,0.0,0.0
54,-1.631653133122312,0.053608006163383695,0.4921797973814142,-0.2526738583225151,-1.2654702162503622,-0.15296277635946537,-1.3345778355792162,0.40521078193683263,-1.7067133162880583,-0.3631644059874078,-1.0975434287662913,-0.23539666166813883,1.0,0.0,0.0,1.0,0.0,0.0
670,0.5115882541021938,-1.0773804811841616,-0.5850944430988735,-0.8606957659011755,-0.5011090896016389,-1.6351504336067848,0.588894389055892,0.7921824379621634,-0.5404294779620968,-1.4749833046455783,-1.0975434287662913,-0.9412809246907776,1.0,0.0,0.0,0.0,1.0,0.0
